jahr;name;beschreibung;zahl;mh;daten;land;lat;lon;fehler;url;bild1;bild2;bild3;Strasse ;PLZ ;Ort;Anlagentyp
1986;Min Nis;Schwimmbadtechnik;2350;m³/h ;2350 m³/h ;EGY;31.236382;29.972832;;;;;;;;;
1987;Attersee ;HB / FB;280;m³/h;280 m³/h;AT;47.91667;13.54139;;;;;;;;;
1987;Edlach ;FB;251;m³/h;251 m³/h;AT;47.69143;15.80903;;;;;;;;;
1987;Schafbergbad;FB Außenverrohrung;;; ;AT;48.233;16.3;;;;;;;;;
1987;Oberlaa ;FB / HB autom.;140;m³/h;140 m³/h;AT;48.133;16.4;;;;;;;;;
1987;Perg ;HB;40;m³/h;40 m³/h;AT;48.25028;14.63361;;;;;;;;;
1987;Pensionistenheim Wien 23 ;HB autom.;35;m³/h;35 m³/h;AT;48.148692;16.299637;;;;;;;;;
1987;Südstadt Bundessportzentrum ;HB autom.;420;m³/h;420 m³/h;AT;48.09183;16.3065;;;;;;;;;
1988;Kongreßbad ;FB  ;960;m³/h;960 m³/h;AT;48.22197;16.31165;;;;;;;;;
1988;Baden ;HB  ;200;m³/h;200 m³/h;AT;48.0075;16.23444;;;;;;;;;
1988;Reichenau ;FB  ;254;m³/h;254 m³/h;AT;47.7;15.833;;;;;;;;;
1988;LMF Sarvar H ;HB   ;5;m³/h;5 m³/h;HU;47.25415;16.93545;;;;;;;;;
1988;Hietzing  ;HB   ;30;m³/h;30 m³/h;AT;48.1755;16.25483;;;;;;;;;
1989;Hartlgasse  ;FB Dachterrasse   ;80;m³/h;80 m³/h;AT;48.23382;16.37343;;;;;;;;;
1989;Puchberg ;FB   ;250;m³/h;250 m³/h;AT;47.78333;15.9;;;;;;;;;
1989;Stadt des Kindes;HB   ;210;m³/h;210 m³/h;AT;48.20674;16.2136;;;;;;;;;
1989;Hadikgasse ;FB Dachterrasse;74;m³/h;74 m³/h;AT;48.18832;16.30358;;;;;;;;;
1989;Wien - Süd ;FB ;133;m³/h;133 m³/h;AT;48.1866;16.3801;;;;;;;;;
1989;Wr. Neustadt ;HB  ;240;m³/h;240 m³/h;AT;47.8;16.25;;;;;;;;;
1989;Pratersauna ;HB Saunabecken 70 m³/h, Freibad 45 m³/h;70;m³/h;70 m³/h;AT;48.21331;16.40481;;;;;;;;;
1990;Mattersburg ;FB Kinderbecken  ;75;m³/h;75 m³/h;AT;47.73806;16.39694;;;;;;;;;
1990;Schwechat ;FB Kinderbecken  ;70;m³/h;70 m³/h;AT;48.1333;16.4667;;;;;;;;;
1990;Pasching ;FB   ;362;m³/h;362 m³/h;AT;48.25931;14.20369;;;;;;;;;
1991;Stadionbad ;FB Baustufe 1  ;2100;m³/h;2100 m³/h;AT;48.20361;16.42289;;;;;;;;;
1991;Haus / Ennstal ;FB   ;310;m³/h;310 m³/h;AT;47.4075;13.76694;;;;;;;;;
1991;Hardegg ;FB   ;200;m³/h;200 m³/h;AT;48.85;15.867;;;;;;;;;
1991;RSKA Baden ;HB   ;125;m³/h;125 m³/h;AT;48.0082;16.2316;;;;;;;;;
1991;Hotel Scharfegger / Prein;HB     ;10;m³/h;10 m³/h;AT;47.67589;15.74909;;;;;;;;;
1992;Stadionbad;FB Baustufe 2;1020;m³/h;1020 m³/h;AT;48.20361;16.42289;;;;;;;;;
1992;Absdorf ;FB;445;m³/h;445 m³/h;AT;48.40028;15.98;;;;;;;;;
1992;Pöllau ;FB;355;m³/h;355 m³/h;AT;47.30194;15.83389;;;;;;;;;
1992;Güssing;FB;520;m³/h;520 m³/h;AT;47.067;16.317;;;;;;;;;
1992;Leobersdorf ;FB;554;m³/h;554 m³/h;AT;47.917;16.217;;;;;;;;;
1992;Kottes ;FB;78;m³/h;78 m³/h;AT;48.417;15.3;;;;;;;;;
1992;SMZ – Ost;HB Therapiebecken;60;m³/h;60 m³/h;AT;48.21811;16.46438;;;;;;;;;
1992;Kanitzgasse MA;HB;33;m³/h;33 m³/h;AT;48.15218;16.26988;;;;;;;;;
1992;Stadthalle KIBA ;HB;33;m³/h;33 m³/h;AT;47.812939;16.245708;;;;;;;;;
1992;Krems ;FB / HB;900;m³/h;900 m³/h;AT;48.41;15.61;;;;;;;;;
1993;Oberlaa;HB / FB Chlorgasanlage;;m³/h; m³/h;AT;48.133;16.4;;;;;;;;;
1993;Mistelbach;FB ;738;m³/h;738 m³/h;AT;48.5706;16.5764;;;;;;;;;
1993;St. Pölten ;FB Kinderbecken;;; ;AT;47.80445;16.37109;;;;;;;;;
1993;Pöttsching;FB;;; ;AT;48.2;15.6333;;;;;;;;;
1993;Neufeld ;FB Kinderbecken;35;m³/h;35 m³/h;AT;48.2;15.9;;;;;;;;;
1993;Bautzen ;HB;80;m³/h;80 m³/h;DE;51.18;14.42;;;;;;;;;
1994;Gewerkschaftsh. Seewalchen;HB;35;m³/h;35 m³/h;AT;47.9331;13.5653;;;;;;;;;
1994;Ökohaus;FB  ;133;m³/h;133 m³/h;AT;48.21334524619944;16.419457764817600;;;;;;;;;WHA
1994;Neutal ;FB;277;m³/h;277 m³/h;AT;47.65;12.2;;;;;;;;;
1994;Dorfhain;FB;955;m³/h;955 m³/h;DE;47.4167;9.75;;;;;;;;;
1994;Steinigtwolmsdorf ;FB;685;m³/h;685 m³/h;DE;51.068128;14.349434;;;;;;;;;
1994;Seif - Hennersdorf;FB;488;m³/h;488 m³/h;DE;47.3303;11.1875;;;;;;;;;
1994;Pritzwalk;FB;385;m³/h;385 m³/h;DE;53.167814501303766;12.196074482303233;;;;;;;;;
1994;Ulmersfeld – Hausmening;HB Sauna;2100;m³/h;2100 m³/h;AT;46.61;13.85;;;;;;;;;
1994;Barmherz. Br. Strebersdorf;HB;360;m³/h;360 m³/h;AT;48.1225;14.8725;;;;;;;;;
