Name;PLZ;Ort ;Straße;geschlossen/nicht vorhanden;Homepage;Typ;Bundesland;ADMA;Hogast;Privatkunde;potentieller Kunde;Bädertechnik;Service;Chemie;Telefon;Ansprechpartner;Berechnung;lat;lon
Erlinger Holding GmbH;1010;Wien;Kärtner Ring 5-7;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;ja;;;1;48.202317;16.371041
Karat Industrie Chemikalien GmbH;1020;Wien;Weintraubengasse 30/22;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;ja;;;1;48.217374619074334;16.38679789907864
Spiegelmayr Technologies GmbH;1050;Wien;Grüngasse 16/2/1;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;noch keine Zuordnung;;;;;nein;ja;;;1;48.19473281514325;16.357625693392556
SANTESISTechnisches Gebäudemanagement& Service GmbH;1060;Wien;Gumpendorferstraße 108 ;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Petra Freilinger ;;;;;nein;ja;;;1;48.191227850000004;16.345825146075043
Allgemeine UnfallversicherungsanstaltHauptstelleVienna Twin Towers, Turm A.30;1100;Wien;Wienerbergstraße 11;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;ja;;;1;48.1685218;16.3468394
AUVAVienna Twin Towers;1100;Wien;Wienerbergstraße 11;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;ja;;;1;48.1685218;16.3468394
LDS Lederer Gebäudereinigung GmbH;1100;Wien;Hermann Mark Gasse 8;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;ja;;;1;48.145775799999996;16.377310730400744
Therme Wien GmbH & Co KG;1100;Wien;Kurbadstraße 14;;http://www.thermewien.at;Therme;Wien;Ernst Schügerl;;;;;nein;ja;;Hr. Sturm 01/68009 9306;1;48.1434369;16.400619514176295
ibis acam Bildungs GmbH;1110;Wien;Geiselbergstrasse 15-19;;;Hotelanlage;Wien;Ernst Schügerl;;;;;nein;ja;;;1;48.175193;16.400349
IFM Immobilien Facility Managementund Development GesmbH;1150;Wien;Lehnergasse 3;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;ja;;;1;48.1916366;16.32603021102443
ISG Immoservice GmbHImmocenter;1150;Wien;Märzstraße 1;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;ja;;;1;48.2005011;16.3366289
Firma IGK;1210;Wien;Karl Schärfstrasse 3;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;ja;;;1;48.267607;16.401224
Dr. Malus;1220;Wien;Reiherweg 63;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;ja;;;1;48.19855345;16.470284260009134
Melia Vienna;1220;Wien;DC Tower1, Donau City Strasse 7;;;Hotelanlage;Wien;Ernst Schügerl;;;;;nein;ja;;;1;48.2320611;16.412736
Sol Meliá Deutschland GmbHZweigniederlassung WienMeliá Vienna;1220;Wien;Donau-City Strasse 7/2. Stock;;;Hotelanlage;Wien;Ernst Schügerl;;;;;nein;ja;;;1;48.231892099999996;16.412701488683325
Fitness-Klub Alterlaaz.Hdn. Brigitte Sack;1230;Wien;Anton Baumgartner Straße 44;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;ja;;;1;48.15123055;16.312205020990177
Gymnastik-Klub Alterlaaz.Hdn. Brigitte Sack;1230;Wien;Anton Baumgartner Straße 44;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;ja;;;1;48.15123055;16.312205020990177
