Name;PLZ;Ort ;Straße;geschlossen/nicht vorhanden;Homepage;Typ;Bundesland;ADMA;Hogast;Privatkunde;potentieller Kunde;Bädertechnik;Service;Chemie;Telefon;Ansprechpartner;Berechnung;lat;lon
MA 10 - BA -30 im Wege der MA 34-B;1000;Wien;Postfach 588;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.2083537;16.3725042
MA 39 - BA 5;1000;Wien;Postfach 588;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.198674;16.348388
MA 44 - BA 30;1000;Wien;Wolfganggasse 58-60;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.1784717;16.3453988
MA 44 - BA 4;1000;Wien;Postfach 588;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.198674;16.348388
MA 54 - BA 1;1000;Wien;Postfach 588;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.198674;16.348388
MA 56 - BA 4;1000;Wien;Postfach 588;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.198674;16.348388
MA 56 - BA 4 im Wege der MA 34-B;1000;Wien;Postfach 588;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.2083537;16.3725042
Almanac Palais Vienna Anlieferung: Hegelgasse 1;1010;Wien;Parkring 14-16;;;Hotelanlage;Wien;Ernst Schügerl;ja;;;;ja;ja;;;1;48.2044966;16.3772093
Gemeinnützige WohnungsAGWohnpark Alt-Erlaa;1010;Wien;Eßlinggasse 8-10;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.215617215834726;16.36965324868349
GESIBA-Gemeinn.Siedlungs-u.Bauaktienges./Abt. Hausverw.;1010;Wien;Eßlinggasse 8-10;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Gerald Jagschitz;;;;;ja;ja;;;1;48.215617215834726;16.36965324868349
Holmes Place Wipplingerstr.;1010;Wien;Wipplingerstr. 30;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Pöschl 0676/844644565;1;48.2134817;16.3675703
John Harris Fitness Schillerplatz;1010;Wien;Nibelungengasse 5;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;Hr. Simon 01 / 587371050;1;48.201953;16.3642152
Parkring 14-16 Immobilienverwertung GmbHAlmanac Palais Vienna;1010;Wien;Parkring 14-16;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.2044966;16.3772093
PCC Hotelerrichtungs- und Betriebs GmbH&Co KG;1010;Wien;Parkring 12a;;;Hotelanlage;Wien;Ernst Schügerl;ja;;;;ja;ja;;;1;48.2053698;16.3766363
Residenz Adele Eins GmbH & Co KGp.A. ImmoW16 GmbH;1010;Wien;Wollzeile 16;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.2083571;16.3759887
SEE.HAUS Weiden GmbH;1010;Wien;Triftstraße 12;;;Hotelanlage;Wien;Gerald Jagschitz;;;;;ja;ja;;;1;48.198674;16.348388
Stadt Wien - Wiener Wohnen vertreten durch GESIBA AG;1010;Wien;Eßlinggasse 8-10;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Gerald Jagschitz;;;;;ja;ja;;;1;48.215617215834726;16.36965324868349
The Amauris GmbHThe Amauris Vienna;1010;Wien;Kärtner Ring 8;;;Hotelanlage;Wien;Ernst Schügerl;;;;;ja;ja;;;1;48.201745;16.371037
