Name;PLZ;Ort ;Straße;geschlossen/nicht vorhanden;Homepage;Typ;Bundesland;ADMA;Hogast;Privatkunde;potentieller Kunde;Bädertechnik;Service;Chemie;Telefon;Ansprechpartner;Berechnung;lat;lon
Bristol / Holiday Inn;1010;Wien;Kärntner Ring 1;;;Hotelanlage;Wien;noch keine Zuordnung;;;;;nein;nein;01 515160;;1;48.202703299999996;16.370183384748856
Landespolizeidirektion;1010;Wien;Schottenring 7;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;noch keine Zuordnung;;;;;nein;nein;;Patrik Twardowski 0676/3234803;1;48.2150193;16.3640547
Le Meridian Vienna;1010;Wien;Robert-Stolz-Platz 1;;;Hotelanlage;Wien;noch keine Zuordnung;;;;;nein;nein;01 588900 90000;;1;48.2026634;16.3660683
Marriott  Hotel ;1010;Wien;Parkring 12a;;;Hotelanlage;Wien;noch keine Zuordnung;;;;;nein;nein;;;1;48.2053698;16.3766363
Stubenring WHA Palais Hansen Kempinski;1010;Wien;Schottenring 24;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;noch keine Zuordnung;;;;;nein;nein;;;1;48.2163449;16.3684353
Bike & Swim;1020;Wien;Haussteinstraße 1;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;noch keine Zuordnung;;;;;nein;nein;;;1;48.227554;16.398574
Campus Lodge;1020;Wien;Josef Fritsch Weg 1;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;noch keine Zuordnung;;;;;nein;nein;;Tel. 017297433;1;48.20895435;16.425326787321197
ARWAG Holding-AG;1030;Wien;Würtzlerstraße 15;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.1938803;16.4080453
Club Danube ;1030;Wien;Franzosengraben 2;geschlossen;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.1903091;16.413517186707395
Hotel NH Wien Belvedere;1030;Wien;Renngasse 12A;;;Hotelanlage;Wien;Ernst Schügerl;;;;;nein;nein;01 798324411;;1;48.212621150000004;16.367703605273597
Mohsgasse WHA;1030;Wien;Mohsgasse 30-32;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.1897151;16.3897486
EGW - Erste gemeinnützige Wohnungsgesellschaft Heimstätte Ges.m.b.H;1050;Wien;Emil-Kralikgasse 3;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.186789;16.34486
Austria Trend Hotel Anatol ;1060;Wien;Webgasse 26;;;Hotelanlage;Wien;Ernst Schügerl;ja;;;;nein;nein;;;1;48.1945648;16.3463061
Sans Souci Wien;1070;Wien;Burggasse 2;;;Hotelanlage;Wien;Ernst Schügerl;;;;;nein;nein;01 5222520;;1;48.2044936;16.3562488
Sozialbau AG ;1070;Wien;Lindengasse 55;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.19922435;16.3464339928264
Wiener Kinderfreunde;1080;Wien;Albertgasse 23;;;Freibad;Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.2102577;16.34378236627075
Casa Sonnwendviertel Pflegewohnhaus ;1100;Wien;Antonie-Alt-Gasse 8;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.1797862;16.3818671
Club Danube ;1100;Wien;Favoritenstrasse 15;geschlossen;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.19435825;16.370701372409147
HG Otto Probst Straße 33-35;1100;Wien;Otto Probst Straße 33-35;;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.15520935;16.3581853
Wellness - Line Fitnesscenter;1100;Wien;Waldgasse 10;geschlossen;;Sonstiges (Schulen, öffentl. Einrichtungen, …);Wien;Ernst Schügerl;;;;;nein;nein;;;1;48.176838950000004;16.381416555016653
Ziegelteich - Wienerbergteich;1100;Wien;Wienerbergteich;;;Naturbadeanlage;Wien;noch keine Zuordnung;;;;;nein;nein;;;1;48.160688;16.351849193239694
